,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,season,team,sh,sot,dist,fk,pk,pkatt
49,2024-05-12,17,Bundesliga,Matchweek 33,Sun,Away,,4.0,0.0,Bochum,3.3,0.4,69.0,30210.0,,,,Head-to-Head,,2024,Bayer Leverkusen,15.0,7.0,13.9,0.0,1.0,1.0
50,2024-05-18,17,Bundesliga,Matchweek 34,Sat,Home,,1.0,0.0,Augsburg,2.0,0.4,76.0,30055.0,,,,Head-to-Head,,2024,Bayer Leverkusen,24.0,6.0,17.9,0.0,0.0,0.0
47,2024-05-12,17,Bundesliga,Matchweek 33,Sun,Home,,1.0,1.0,Wolfsburg,1.2,0.9,65.0,80350.0,,,,Head-to-Head,,2024,Bayern Munich,22.0,7.0,19.5,1.0,0.0,0.0
48,2024-05-18,17,Bundesliga,Matchweek 34,Sat,Away,,3.0,0.0,Hoffenheim,3.1,1.0,52.0,17810.0,,,,Head-to-Head,,2024,Bayern Munich,17.0,8.0,18.4,0.0,0.0,0.0
36,2024-05-10,18,Bundesliga,Matchweek 33,Fri,Away,,1.0,2.0,Augsburg,0.3,1.4,37.0,58000.0,,,,Head-to-Head,,2024,Stuttgart,7.0,2.0,22.4,0.0,0.0,0.0
37,2024-05-18,19,Bundesliga,Matchweek 34,Sat,Home,,3.0,1.0,M'Gladbach,1.9,0.9,29.0,53429.0,,,,Head-to-Head,,2024,Stuttgart,8.0,4.0,12.5,0.0,0.0,0.0
43,2024-05-11,18,Bundesliga,Matchweek 33,Sat,Home,,1.0,1.0,Werder Bremen,1.7,1.5,55.0,41000.0,,,,Head-to-Head,,2024,RB Leipzig,17.0,8.0,16.1,0.0,0.0,0.0
44,2024-05-18,17,Bundesliga,Matchweek 34,Sat,Away,,2.0,3.0,Eint Frankfurt,1.8,1.9,47.0,15000.0,,,,Head-to-Head,,2024,RB Leipzig,10.0,3.0,16.2,0.0,1.0,1.0
47,2024-05-11,18,Bundesliga,Matchweek 33,Sat,Away,,1.0,1.0,Mainz 05,1.2,0.9,65.0,80350.0,,,,Head-to-Head,,2024,Dortmund,22.0,7.0,19.5,1.0,0.0,0.0
48,2024-05-18,20,Bundesliga,Matchweek 34,Sat,Home,,3.0,0.0,Darmstadt 98,3.1,1.0,52.0,17810.0,,,,Head-to-Head,,2024,Dortmund,17.0,8.0,18.4,0.0,0.0,0.0
45,2024-05-11,17,Bundesliga,Matchweek 33,Sat,Away,,0.0,0.0,M'Gladbach,1.8,0.5,57.0,33800.0,,,,Head-to-Head,,2024,Eintracht Frankfurt,13.0,3.0,12.0,0.0,0.0,0.0
46,2024-05-18,20,Bundesliga,Matchweek 34,Sat,Home,,1.0,0.0,RB Leipzig,1.1,3.5,38.0,45867.0,,,,Head-to-Head,,2024,Eintracht Frankfurt,5.0,1.0,12.9,0.0,0.0,0.0
44,2024-05-11,17,Bundesliga,Matchweek 33,Sat,Home,,2.0,3.0,Heidenheim,1.8,1.9,47.0,15000.0,,,,Head-to-Head,,2024,Freiburg,10.0,3.0,16.2,0.0,1.0,1.0
45,2024-05-18,19,Bundesliga,Matchweek 34,Sat,Away,,0.0,0.0,Union Berlin,1.8,0.5,57.0,33800.0,,,,Head-to-Head,,2024,Freiburg,13.0,3.0,12.0,0.0,0.0,0.0
33,2024-05-10,18,Bundesliga,Matchweek 33,Fri,Home,,3.0,3.0,Stuttgart,0.8,3.5,55.0,18125.0,,,,Head-to-Head,,2024,Augsburg,15.0,3.0,20.2,0.0,0.0,0.0
34,2024-05-18,17,Bundesliga,Matchweek 34,Sat,Away,,0.0,3.0,Leverkusen,1.0,3.1,48.0,17810.0,,,,Head-to-Head,,2024,Augsburg,11.0,2.0,20.4,1.0,0.0,0.0
34,2024-05-12,20,Bundesliga,Matchweek 33,Sun,Away,,0.0,3.0,Darmstadt 98,1.0,3.1,48.0,17810.0,,,,Head-to-Head,,2024,Hoffenheim,11.0,2.0,20.4,1.0,0.0,0.0
35,2024-05-18,17,Bundesliga,Matchweek 34,Sat,Home,,1.0,1.0,Bayern Munich,0.9,0.9,51.0,50000.0,,,,Head-to-Head,,2024,Hoffenheim,14.0,5.0,15.3,1.0,0.0,0.0
34,2024-05-11,17,Bundesliga,Matchweek 33,Sat,Away,,0.0,3.0,Freiburg,1.0,3.1,48.0,17810.0,,,,Head-to-Head,,2024,Heidenheim,11.0,2.0,20.4,1.0,0.0,0.0
35,2024-05-18,20,Bundesliga,Matchweek 34,Sat,Home,,1.0,1.0,Köln,0.9,0.9,51.0,50000.0,,,,Head-to-Head,,2024,Heidenheim,14.0,5.0,15.3,1.0,0.0,0.0
33,2024-05-11,17,Bundesliga,Matchweek 33,Sat,Away,,3.0,3.0,RB Leipzig,0.8,3.5,55.0,18125.0,,,,Head-to-Head,,2024,Werder Bremen,15.0,3.0,20.2,0.0,0.0,0.0
