,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,season,team,sh,sot,dist,fk,pk,pkatt
49,2024-05-12,20,Ligue 1,Matchweek 33,Sun,Home,,4.0,2.0,Toulouse,2.3,2.2,50.0,15848.0,,,,Head-to-Head,,2024,Paris Saint Germain,18.0,8.0,14.0,0.0,0.0,0.0
50,2024-05-15,19,Ligue 1,Matchweek 32,Wed,Away,,2.0,1.0,Nice,1.0,0.8,42.0,63787.0,,,,Head-to-Head,,2024,Paris Saint Germain,14.0,4.0,15.8,1.0,0.0,0.0
51,2024-05-19,20,Ligue 1,Matchweek 34,Sun,Away,,3.0,0.0,Metz,2.8,0.2,64.0,63576.0,,,,Head-to-Head,,2024,Paris Saint Germain,14.0,6.0,15.6,0.0,0.0,0.0
35,2024-05-12,19,Ligue 1,Matchweek 33,Sun,Away,,1.0,0.0,Montpellier,1.5,0.5,56.0,9798.0,,,,Head-to-Head,,2024,Monaco,16.0,5.0,21.1,1.0,1.0,1.0
36,2024-05-19,17,Ligue 1,Matchweek 34,Sun,Home,,0.0,3.0,Nantes,0.2,2.8,36.0,63576.0,,,,Head-to-Head,,2024,Monaco,7.0,1.0,22.8,0.0,0.0,0.0
35,2024-05-10,17,Ligue 1,Matchweek 33,Fri,Home,,1.0,0.0,Reims,1.5,0.5,56.0,9798.0,,,,Head-to-Head,,2024,Brest,16.0,5.0,21.1,1.0,1.0,1.0
36,2024-05-19,17,Ligue 1,Matchweek 34,Sun,Away,,0.0,3.0,Toulouse,0.2,2.8,36.0,63576.0,,,,Head-to-Head,,2024,Brest,7.0,1.0,22.8,0.0,0.0,0.0
47,2024-05-12,17,Ligue 1,Matchweek 33,Sun,Away,,2.0,0.0,Nantes,2.2,1.1,64.0,34356.0,,,,Head-to-Head,,2024,Lille,18.0,7.0,15.2,2.0,0.0,0.0
48,2024-05-19,18,Ligue 1,Matchweek 34,Sun,Home,,1.0,1.0,Nice,1.3,1.2,60.0,29436.0,,,,Head-to-Head,,2024,Lille,12.0,5.0,16.9,0.0,0.0,0.0
35,2024-05-10,20,Ligue 1,Matchweek 33,Fri,Home,,1.0,0.0,Le Havre,1.5,0.5,56.0,9798.0,,,,Head-to-Head,,2024,Nice,16.0,5.0,21.1,1.0,1.0,1.0
36,2024-05-15,17,Ligue 1,Matchweek 32,Wed,Home,,0.0,3.0,Paris S-G,0.2,2.8,36.0,63576.0,,,,Head-to-Head,,2024,Nice,7.0,1.0,22.8,0.0,0.0,0.0
37,2024-05-19,17,Ligue 1,Matchweek 34,Sun,Away,,2.0,1.0,Lille,1.3,1.7,36.0,25410.0,,,,Head-to-Head,,2024,Nice,8.0,2.0,19.2,1.0,0.0,0.0
41,2024-05-12,20,Ligue 1,Matchweek 33,Sun,Away,,1.0,1.0,Rennes,1.0,1.4,50.0,37233.0,,,,Head-to-Head,,2024,Lens,15.0,4.0,17.7,2.0,0.0,0.0
