,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,season,team,sh,sot,dist,fk,pk,pkatt
46,2024-05-10,17,Serie A,Matchweek 36,Fri,Away,,0.0,0.0,Frosinone,2.1,0.2,51.0,26621.0,,,,Head-to-Head,,2024,Internazionale,11.0,4.0,18.0,1.0,0.0,1.0
47,2024-05-19,20,Serie A,Matchweek 37,Sun,Home,,1.0,3.0,Lazio,1.8,2.1,54.0,45000.0,,,,Head-to-Head,,2024,Internazionale,15.0,3.0,17.1,0.0,1.0,1.0
48,2024-05-26,17,Serie A,Matchweek 38,Sun,Away,,4.0,0.0,Hellas Verona,2.5,0.5,56.0,27588.0,,,,Head-to-Head,,2024,Internazionale,14.0,5.0,19.0,1.0,1.0,1.0
49,2024-05-11,18,Serie A,Matchweek 36,Sat,Home,,0.0,2.0,Cagliari,1.5,1.6,48.0,59000.0,,,,Head-to-Head,,2024,Milan,13.0,4.0,14.8,0.0,0.0,0.0
50,2024-05-19,20,Serie A,Matchweek 37,Sun,Away,,2.0,0.0,Torino,2.3,0.5,49.0,15597.0,,,,Head-to-Head,,2024,Milan,18.0,6.0,15.2,0.0,0.0,0.0
51,2024-05-26,19,Serie A,Matchweek 38,Sun,Home,,1.0,1.0,Salernitana,0.7,2.1,44.0,60022.0,,,,Head-to-Head,,2024,Milan,8.0,2.0,12.9,0.0,0.0,0.0
39,2024-05-12,18,Serie A,Matchweek 36,Sun,Home,,1.0,0.0,Salernitana,0.5,0.8,52.0,18181.0,,,,Head-to-Head,,2024,Juventus,9.0,3.0,14.4,0.0,0.0,0.0
41,2024-05-19,19,Serie A,Matchweek 37,Sun,Away,,0.0,0.0,Bologna,1.8,1.5,53.0,20116.0,,,,Head-to-Head,,2024,Juventus,12.0,1.0,12.6,0.0,0.0,0.0
42,2024-05-26,18,Serie A,Matchweek 38,Sun,Home,,2.0,1.0,Monza,2.5,0.7,35.0,15148.0,,,,Head-to-Head,,2024,Juventus,17.0,6.0,16.2,1.0,0.0,1.0
39,2024-05-11,19,Serie A,Matchweek 36,Sat,Away,,1.0,0.0,Napoli,0.5,0.8,52.0,18181.0,,,,Head-to-Head,,2024,Bologna,9.0,3.0,14.4,0.0,0.0,0.0
40,2024-05-19,18,Serie A,Matchweek 37,Sun,Home,,2.0,2.0,Juventus,1.4,2.2,35.0,23467.0,,,,Head-to-Head,,2024,Bologna,19.0,7.0,17.2,0.0,0.0,0.0
41,2024-05-26,19,Serie A,Matchweek 38,Sun,Away,,0.0,0.0,Genoa,1.8,1.5,53.0,20116.0,,,,Head-to-Head,,2024,Bologna,12.0,1.0,12.6,0.0,0.0,0.0
51,2024-05-12,18,Serie A,Matchweek 36,Sun,Away,,1.0,1.0,Atalanta,0.7,2.1,44.0,60022.0,,,,Head-to-Head,,2024,Roma,8.0,2.0,12.9,0.0,0.0,0.0
52,2024-05-19,20,Serie A,Matchweek 37,Sun,Home,,1.0,4.0,Genoa,1.4,1.1,71.0,32961.0,,,,Head-to-Head,,2024,Roma,13.0,3.0,19.4,0.0,0.0,0.0
53,2024-05-26,20,Serie A,Matchweek 38,Sun,Away,,1.0,0.0,Empoli,1.1,1.2,62.0,14864.0,,,,Head-to-Head,,2024,Roma,17.0,3.0,14.5,0.0,0.0,0.0
38,2024-03-17,20,Serie A,Matchweek 29,Sun,Home,,1.0,2.0,Fiorentina,0.8,2.0,30.0,40548.0,,,Juan Sacchi,,Match Postponed,2024,Atalanta,8.0,3.0,17.4,0.0,0.0,0.0
51,2024-05-12,18,Serie A,Matchweek 36,Sun,Home,,1.0,1.0,Roma,0.7,2.1,44.0,60022.0,,,,Head-to-Head,,2024,Atalanta,8.0,2.0,12.9,0.0,0.0,0.0
