,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,season,team,sh,sot,dist,fk,pk,pkatt
49,2024-05-12,18,Bundesliga,Matchweek 33,Sun,Away,,,,Bochum,,,,,,,,Head-to-Head,,2024,Bayer Leverkusen,,,,,,
50,2024-05-18,17,Bundesliga,Matchweek 34,Sat,Home,,,,Augsburg,,,,,,,,Head-to-Head,,2024,Bayer Leverkusen,,,,,,
37,2024-05-18,17,Bundesliga,Matchweek 34,Sat,Home,,,,M'Gladbach,,,,,,,,Head-to-Head,,2024,Stuttgart,,,,,,
47,2024-05-12,20,Bundesliga,Matchweek 33,Sun,Home,,,,Wolfsburg,,,,,,,,Head-to-Head,,2024,Bayern Munich,,,,,,
48,2024-05-18,17,Bundesliga,Matchweek 34,Sat,Away,,,,Hoffenheim,,,,,,,,Head-to-Head,,2024,Bayern Munich,,,,,,
43,2024-05-11,18,Bundesliga,Matchweek 33,Sat,Home,,,,Werder Bremen,,,,,,,,Head-to-Head,,2024,RB Leipzig,,,,,,
44,2024-05-18,19,Bundesliga,Matchweek 34,Sat,Away,,,,Eint Frankfurt,,,,,,,,Head-to-Head,,2024,RB Leipzig,,,,,,
47,2024-05-11,20,Bundesliga,Matchweek 33,Sat,Away,,,,Mainz 05,,,,,,,,Head-to-Head,,2024,Dortmund,,,,,,
48,2024-05-18,19,Bundesliga,Matchweek 34,Sat,Home,,,,Darmstadt 98,,,,,,,,Head-to-Head,,2024,Dortmund,,,,,,
45,2024-05-11,18,Bundesliga,Matchweek 33,Sat,Away,,,,M'Gladbach,,,,,,,,Head-to-Head,,2024,Eintracht Frankfurt,,,,,,
46,2024-05-18,17,Bundesliga,Matchweek 34,Sat,Home,,,,RB Leipzig,,,,,,,,Head-to-Head,,2024,Eintracht Frankfurt,,,,,,
44,2024-05-11,17,Bundesliga,Matchweek 33,Sat,Home,,,,Heidenheim,,,,,,,,Head-to-Head,,2024,Freiburg,,,,,,
45,2024-05-18,17,Bundesliga,Matchweek 34,Sat,Away,,,,Union Berlin,,,,,,,,Head-to-Head,,2024,Freiburg,,,,,,
34,2024-05-12,18,Bundesliga,Matchweek 33,Sun,Away,,,,Darmstadt 98,,,,,,,,Head-to-Head,,2024,Hoffenheim,,,,,,
35,2024-05-18,18,Bundesliga,Matchweek 34,Sat,Home,,,,Bayern Munich,,,,,,,,Head-to-Head,,2024,Hoffenheim,,,,,,
34,2024-05-18,17,Bundesliga,Matchweek 34,Sat,Away,,,,Leverkusen,,,,,,,,Head-to-Head,,2024,Augsburg,,,,,,
34,2024-05-11,20,Bundesliga,Matchweek 33,Sat,Away,,,,Freiburg,,,,,,,,Head-to-Head,,2024,Heidenheim,,,,,,
35,2024-05-18,20,Bundesliga,Matchweek 34,Sat,Home,,,,Köln,,,,,,,,Head-to-Head,,2024,Heidenheim,,,,,,
33,2024-05-11,17,Bundesliga,Matchweek 33,Sat,Away,,,,RB Leipzig,,,,,,,,Head-to-Head,,2024,Werder Bremen,,,,,,
34,2024-05-18,18,Bundesliga,Matchweek 34,Sat,Home,,,,Bochum,,,,,,,,Head-to-Head,,2024,Werder Bremen,,,,,,
35,2024-05-12,20,Bundesliga,Matchweek 33,Sun,Away,,,,Bayern Munich,,,,,,,,Head-to-Head,,2024,Wolfsburg,,,,,,
36,2024-05-18,18,Bundesliga,Matchweek 34,Sat,Home,,,,Mainz 05,,,,,,,,Head-to-Head,,2024,Wolfsburg,,,,,,
36,2024-05-11,17,Bundesliga,Matchweek 33,Sat,Home,,,,Eint Frankfurt,,,,,,,,Head-to-Head,,2024,Monchengladbach,,,,,,
37,2024-05-18,18,Bundesliga,Matchweek 34,Sat,Away,,,,Stuttgart,,,,,,,,Head-to-Head,,2024,Monchengladbach,,,,,,
33,2024-05-12,20,Bundesliga,Matchweek 33,Sun,Home,,,,Leverkusen,,,,,,,,Head-to-Head,,2024,Bochum,,,,,,
34,2024-05-18,17,Bundesliga,Matchweek 34,Sat,Away,,,,Werder Bremen,,,,,,,,Head-to-Head,,2024,Bochum,,,,,,
40,2024-05-11,19,Bundesliga,Matchweek 33,Sat,Away,,,,Köln,,,,,,,,Head-to-Head,,2024,Union Berlin,,,,,,
41,2024-05-18,19,Bundesliga,Matchweek 34,Sat,Home,,,,Freiburg,,,,,,,,Head-to-Head,,2024,Union Berlin,,,,,,
34,2024-05-11,17,Bundesliga,Matchweek 33,Sat,Home,,,,Dortmund,,,,,,,,Head-to-Head,,2024,Mainz 05,,,,,,
35,2024-05-18,20,Bundesliga,Matchweek 34,Sat,Away,,,,Wolfsburg,,,,,,,,Head-to-Head,,2024,Mainz 05,,,,,,
34,2024-05-11,18,Bundesliga,Matchweek 33,Sat,Home,,,,Union Berlin,,,,,,,,Head-to-Head,,2024,Koln,,,,,,
35,2024-05-18,19,Bundesliga,Matchweek 34,Sat,Away,,,,Heidenheim,,,,,,,,Head-to-Head,,2024,Koln,,,,,,
33,2024-05-12,20,Bundesliga,Matchweek 33,Sun,Home,,,,Hoffenheim,,,,,,,,Head-to-Head,,2024,Darmstadt 98,,,,,,
34,2024-05-18,19,Bundesliga,Matchweek 34,Sat,Away,,,,Dortmund,,,,,,,,Head-to-Head,,2024,Darmstadt 98,,,,,,
