,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,season,team,sh,sot,dist,fk,pk,pkatt
50,2024-05-11,18,La Liga,Matchweek 35,Sat,Away,,,,Granada,,,,,,,,Head-to-Head,,2024,Real Madrid,,,,,,
51,2024-05-14,17,La Liga,Matchweek 36,Tue,Home,,,,Alavés,,,,,,,,Head-to-Head,,2024,Real Madrid,,,,,,
52,2024-05-19,18,La Liga,Matchweek 37,Sun,Away,,,,Villarreal,,,,,,,,Head-to-Head,,2024,Real Madrid,,,,,,
53,2024-05-25,20,La Liga,Matchweek 38,Sat,Home,,,,Betis,,,,,,,,Head-to-Head,,2024,Real Madrid,,,,,,
40,2024-05-14,18,La Liga,Matchweek 36,Tue,Home,,,,Villarreal,,,,,,,,Head-to-Head,,2024,Girona,,,,,,
41,2024-05-19,18,La Liga,Matchweek 37,Sun,Away,,,,Valencia,,,,,,,,Head-to-Head,,2024,Girona,,,,,,
42,2024-05-25,18,La Liga,Matchweek 38,Sat,Home,,,,Granada,,,,,,,,Head-to-Head,,2024,Girona,,,,,,
49,2024-05-13,17,La Liga,Matchweek 35,Mon,Home,,,,Real Sociedad,,,,,,,,Head-to-Head,,2024,Barcelona,,,,,,
50,2024-05-16,17,La Liga,Matchweek 36,Thu,Away,,,,Almería,,,,,,,,Head-to-Head,,2024,Barcelona,,,,,,
51,2024-05-19,17,La Liga,Matchweek 37,Sun,Home,,,,Rayo Vallecano,,,,,,,,Head-to-Head,,2024,Barcelona,,,,,,
52,2024-05-25,20,La Liga,Matchweek 38,Sat,Away,,,,Sevilla,,,,,,,,Head-to-Head,,2024,Barcelona,,,,,,
50,2024-05-12,18,La Liga,Matchweek 35,Sun,Home,,,,Celta Vigo,,,,,,,,Head-to-Head,,2024,Atletico Madrid,,,,,,
51,2024-05-15,17,La Liga,Matchweek 36,Wed,Away,,,,Getafe,,,,,,,,Head-to-Head,,2024,Atletico Madrid,,,,,,
52,2024-05-19,17,La Liga,Matchweek 37,Sun,Home,,,,Osasuna,,,,,,,,Head-to-Head,,2024,Atletico Madrid,,,,,,
53,2024-05-25,18,La Liga,Matchweek 38,Sat,Away,,,,Real Sociedad,,,,,,,,Head-to-Head,,2024,Atletico Madrid,,,,,,
42,2024-05-11,19,La Liga,Matchweek 35,Sat,Home,,,,Osasuna,,,,,,,,Head-to-Head,,2024,Athletic Club,,,,,,
43,2024-05-15,18,La Liga,Matchweek 36,Wed,Away,,,,Celta Vigo,,,,,,,,Head-to-Head,,2024,Athletic Club,,,,,,
44,2024-05-19,18,La Liga,Matchweek 37,Sun,Home,,,,Sevilla,,,,,,,,Head-to-Head,,2024,Athletic Club,,,,,,
45,2024-05-25,18,La Liga,Matchweek 38,Sat,Away,,,,Rayo Vallecano,,,,,,,,Head-to-Head,,2024,Athletic Club,,,,,,
49,2024-05-13,18,La Liga,Matchweek 35,Mon,Away,,,,Barcelona,,,,,,,,Head-to-Head,,2024,Real Sociedad,,,,,,
50,2024-05-16,20,La Liga,Matchweek 36,Thu,Home,,,,Valencia,,,,,,,,Head-to-Head,,2024,Real Sociedad,,,,,,
51,2024-05-19,17,La Liga,Matchweek 37,Sun,Away,,,,Betis,,,,,,,,Head-to-Head,,2024,Real Sociedad,,,,,,
52,2024-05-25,18,La Liga,Matchweek 38,Sat,Home,,,,Atlético Madrid,,,,,,,,Head-to-Head,,2024,Real Sociedad,,,,,,
45,2024-05-12,19,La Liga,Matchweek 35,Sun,Home,,,,Almería,,,,,,,,Head-to-Head,,2024,Real Betis,,,,,,
46,2024-05-16,18,La Liga,Matchweek 36,Thu,Away,,,,Las Palmas,,,,,,,,Head-to-Head,,2024,Real Betis,,,,,,
47,2024-05-19,17,La Liga,Matchweek 37,Sun,Home,,,,Real Sociedad,,,,,,,,Head-to-Head,,2024,Real Betis,,,,,,
48,2024-05-25,18,La Liga,Matchweek 38,Sat,Away,,,,Real Madrid,,,,,,,,Head-to-Head,,2024,Real Betis,,,,,,
38,2024-05-12,20,La Liga,Matchweek 35,Sun,Home,,,,Rayo Vallecano,,,,,,,,Head-to-Head,,2024,Valencia,,,,,,
39,2024-05-16,18,La Liga,Matchweek 36,Thu,Away,,,,Real Sociedad,,,,,,,,Head-to-Head,,2024,Valencia,,,,,,
