,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,season,team,sh,sot,dist,fk,pk,pkatt
49,2024-05-12,19,Ligue 1,Matchweek 33,Sun,Home,,,,Toulouse,,,,,,,,Head-to-Head,,2024,Paris Saint Germain,,,,,,
50,2024-05-15,18,Ligue 1,Matchweek 32,Wed,Away,,,,Nice,,,,,,,,Head-to-Head,,2024,Paris Saint Germain,,,,,,
51,2024-05-19,18,Ligue 1,Matchweek 34,Sun,Away,,,,Metz,,,,,,,,Head-to-Head,,2024,Paris Saint Germain,,,,,,
35,2024-05-12,19,Ligue 1,Matchweek 33,Sun,Away,,,,Montpellier,,,,,,,,Head-to-Head,,2024,Monaco,,,,,,
36,2024-05-19,17,Ligue 1,Matchweek 34,Sun,Home,,,,Nantes,,,,,,,,Head-to-Head,,2024,Monaco,,,,,,
36,2024-05-19,18,Ligue 1,Matchweek 34,Sun,Away,,,,Toulouse,,,,,,,,Head-to-Head,,2024,Brest,,,,,,
47,2024-05-12,20,Ligue 1,Matchweek 33,Sun,Away,,,,Nantes,,,,,,,,Head-to-Head,,2024,Lille,,,,,,
48,2024-05-19,19,Ligue 1,Matchweek 34,Sun,Home,,,,Nice,,,,,,,,Head-to-Head,,2024,Lille,,,,,,
36,2024-05-15,18,Ligue 1,Matchweek 32,Wed,Home,,,,Paris S-G,,,,,,,,Head-to-Head,,2024,Nice,,,,,,
37,2024-05-19,20,Ligue 1,Matchweek 34,Sun,Away,,,,Lille,,,,,,,,Head-to-Head,,2024,Nice,,,,,,
41,2024-05-12,18,Ligue 1,Matchweek 33,Sun,Away,,,,Rennes,,,,,,,,Head-to-Head,,2024,Lens,,,,,,
42,2024-05-19,18,Ligue 1,Matchweek 34,Sun,Home,,,,Montpellier,,,,,,,,Head-to-Head,,2024,Lens,,,,,,
37,2024-05-12,19,Ligue 1,Matchweek 33,Sun,Away,,,,Clermont Foot,,,,,,,,Head-to-Head,,2024,Lyon,,,,,,
38,2024-05-19,17,Ligue 1,Matchweek 34,Sun,Home,,,,Strasbourg,,,,,,,,Head-to-Head,,2024,Lyon,,,,,,
45,2024-05-12,17,Ligue 1,Matchweek 33,Sun,Home,,,,Lens,,,,,,,,Head-to-Head,,2024,Rennes,,,,,,
46,2024-05-19,20,Ligue 1,Matchweek 34,Sun,Away,,,,Reims,,,,,,,,Head-to-Head,,2024,Rennes,,,,,,
49,2024-05-12,18,Ligue 1,Matchweek 33,Sun,Home,,,,Lorient,,,,,,,,Head-to-Head,,2024,Marseille,,,,,,
50,2024-05-15,18,Ligue 1,Matchweek 32,Wed,Away,,,,Reims,,,,,,,,Head-to-Head,,2024,Marseille,,,,,,
51,2024-05-19,17,Ligue 1,Matchweek 34,Sun,Away,,,,Le Havre,,,,,,,,Head-to-Head,,2024,Marseille,,,,,,
35,2024-05-12,17,Ligue 1,Matchweek 33,Sun,Home,,,,Monaco,,,,,,,,Head-to-Head,,2024,Montpellier,,,,,,
36,2024-05-19,17,Ligue 1,Matchweek 34,Sun,Away,,,,Lens,,,,,,,,Head-to-Head,,2024,Montpellier,,,,,,
34,2024-05-15,17,Ligue 1,Matchweek 32,Wed,Home,,,,Marseille,,,,,,,,Head-to-Head,,2024,Reims,,,,,,
35,2024-05-19,17,Ligue 1,Matchweek 34,Sun,Home,,,,Rennes,,,,,,,,Head-to-Head,,2024,Reims,,,,,,
43,2024-05-12,20,Ligue 1,Matchweek 33,Sun,Away,,,,Paris S-G,,,,,,,,Head-to-Head,,2024,Toulouse,,,,,,
44,2024-05-19,19,Ligue 1,Matchweek 34,Sun,Home,,,,Brest,,,,,,,,Head-to-Head,,2024,Toulouse,,,,,,
36,2024-05-12,20,Ligue 1,Matchweek 33,Sun,Home,,,,Metz,,,,,,,,Head-to-Head,,2024,Strasbourg,,,,,,
37,2024-05-19,18,Ligue 1,Matchweek 34,Sun,Away,,,,Lyon,,,,,,,,Head-to-Head,,2024,Strasbourg,,,,,,
34,2024-05-12,18,Ligue 1,Matchweek 33,Sun,Home,,,,Lille,,,,,,,,Head-to-Head,,2024,Nantes,,,,,,
35,2024-05-19,17,Ligue 1,Matchweek 34,Sun,Away,,,,Monaco,,,,,,,,Head-to-Head,,2024,Nantes,,,,,,
36,2024-05-19,19,Ligue 1,Matchweek 34,Sun,Home,,,,Marseille,,,,,,,,Head-to-Head,,2024,Le Havre,,,,,,
33,2024-05-12,20,Ligue 1,Matchweek 33,Sun,Away,,,,Strasbourg,,,,,,,,Head-to-Head,,2024,Metz,,,,,,
34,2024-05-19,20,Ligue 1,Matchweek 34,Sun,Home,,,,Paris S-G,,,,,,,,Head-to-Head,,2024,Metz,,,,,,
33,2024-05-12,17,Ligue 1,Matchweek 33,Sun,Away,,,,Marseille,,,,,,,,Head-to-Head,,2024,Lorient,,,,,,
34,2024-05-19,20,Ligue 1,Matchweek 34,Sun,Home,,,,Clermont Foot,,,,,,,,Head-to-Head,,2024,Lorient,,,,,,
34,2024-05-12,18,Ligue 1,Matchweek 33,Sun,Home,,,,Lyon,,,,,,,,Head-to-Head,,2024,Clermont Foot,,,,,,
35,2024-05-19,20,Ligue 1,Matchweek 34,Sun,Away,,,,Lorient,,,,,,,,Head-to-Head,,2024,Clermont Foot,,,,,,
