,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,season,team,sh,sot,dist,fk,pk,pkatt
50,2024-05-12,20,Premier League,Matchweek 37,Sun,Away,,,,Manchester Utd,,,,,,,,Head-to-Head,,2024,Arsenal,,,,,,
51,2024-05-19,17,Premier League,Matchweek 38,Sun,Home,,,,Everton,,,,,,,,Head-to-Head,,2024,Arsenal,,,,,,
53,2024-05-11,20,Premier League,Matchweek 37,Sat,Away,,,,Fulham,,,,,,,,Head-to-Head,,2024,Manchester City,,,,,,
54,2024-05-14,17,Premier League,Matchweek 34,Tue,Away,,,,Tottenham,,,,,,,,Head-to-Head,,2024,Manchester City,,,,,,
55,2024-05-19,18,Premier League,Matchweek 38,Sun,Home,,,,West Ham,,,,,,,,Head-to-Head,,2024,Manchester City,,,,,,
56,2024-05-13,18,Premier League,Matchweek 37,Mon,Away,,,,Aston Villa,,,,,,,,Head-to-Head,,2024,Liverpool,,,,,,
57,2024-05-19,19,Premier League,Matchweek 38,Sun,Home,,,,Wolves,,,,,,,,Head-to-Head,,2024,Liverpool,,,,,,
54,2024-05-13,20,Premier League,Matchweek 37,Mon,Home,,,,Liverpool,,,,,,,,Head-to-Head,,2024,Aston Villa,,,,,,
55,2024-05-19,20,Premier League,Matchweek 38,Sun,Away,,,,Crystal Palace,,,,,,,,Head-to-Head,,2024,Aston Villa,,,,,,
38,2024-05-11,17,Premier League,Matchweek 37,Sat,Home,,,,Burnley,,,,,,,,Head-to-Head,,2024,Tottenham Hotspur,,,,,,
39,2024-05-14,17,Premier League,Matchweek 34,Tue,Home,,,,Manchester City,,,,,,,,Head-to-Head,,2024,Tottenham Hotspur,,,,,,
40,2024-05-19,19,Premier League,Matchweek 38,Sun,Away,,,,Sheffield Utd,,,,,,,,Head-to-Head,,2024,Tottenham Hotspur,,,,,,
48,2024-05-11,18,Premier League,Matchweek 37,Sat,Home,,,,Brighton,,,,,,,,Head-to-Head,,2024,Newcastle United,,,,,,
49,2024-05-15,20,Premier League,Matchweek 34,Wed,Away,,,,Manchester Utd,,,,,,,,Head-to-Head,,2024,Newcastle United,,,,,,
50,2024-05-19,17,Premier League,Matchweek 38,Sun,Away,,,,Brentford,,,,,,,,Head-to-Head,,2024,Newcastle United,,,,,,
