,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,season,team,sh,sot,dist,fk,pk,pkatt
47,2024-05-19,17,Serie A,Matchweek 37,Sun,Home,,,,Lazio,,,,,,,,Head-to-Head,,2024,Internazionale,,,,,,
48,2024-05-26,20,Serie A,Matchweek 38,Sun,Away,,,,Hellas Verona,,,,,,,,Head-to-Head,,2024,Internazionale,,,,,,
49,2024-05-11,17,Serie A,Matchweek 36,Sat,Home,,,,Cagliari,,,,,,,,Head-to-Head,,2024,Milan,,,,,,
50,2024-05-19,19,Serie A,Matchweek 37,Sun,Away,,,,Torino,,,,,,,,Head-to-Head,,2024,Milan,,,,,,
51,2024-05-26,19,Serie A,Matchweek 38,Sun,Home,,,,Salernitana,,,,,,,,Head-to-Head,,2024,Milan,,,,,,
39,2024-05-12,18,Serie A,Matchweek 36,Sun,Home,,,,Salernitana,,,,,,,,Head-to-Head,,2024,Juventus,,,,,,
41,2024-05-19,18,Serie A,Matchweek 37,Sun,Away,,,,Bologna,,,,,,,,Head-to-Head,,2024,Juventus,,,,,,
42,2024-05-26,20,Serie A,Matchweek 38,Sun,Home,,,,Monza,,,,,,,,Head-to-Head,,2024,Juventus,,,,,,
39,2024-05-11,18,Serie A,Matchweek 36,Sat,Away,,,,Napoli,,,,,,,,Head-to-Head,,2024,Bologna,,,,,,
40,2024-05-19,18,Serie A,Matchweek 37,Sun,Home,,,,Juventus,,,,,,,,Head-to-Head,,2024,Bologna,,,,,,
41,2024-05-26,17,Serie A,Matchweek 38,Sun,Away,,,,Genoa,,,,,,,,Head-to-Head,,2024,Bologna,,,,,,
38,2024-03-17,18,Serie A,Matchweek 29,Sun,Home,,,,Fiorentina,,,,,,,Juan Sacchi,,Match Postponed,2024,Atalanta,,,,,,
51,2024-05-12,18,Serie A,Matchweek 36,Sun,Home,,,,Roma,,,,,,,,Head-to-Head,,2024,Atalanta,,,,,,
53,2024-05-19,18,Serie A,Matchweek 37,Sun,Away,,,,Lecce,,,,,,,,Head-to-Head,,2024,Atalanta,,,,,,
54,2024-05-26,19,Serie A,Matchweek 38,Sun,Home,,,,Torino,,,,,,,,Head-to-Head,,2024,Atalanta,,,,,,
51,2024-05-12,19,Serie A,Matchweek 36,Sun,Away,,,,Atalanta,,,,,,,,Head-to-Head,,2024,Roma,,,,,,
52,2024-05-19,18,Serie A,Matchweek 37,Sun,Home,,,,Genoa,,,,,,,,Head-to-Head,,2024,Roma,,,,,,
53,2024-05-26,18,Serie A,Matchweek 38,Sun,Away,,,,Empoli,,,,,,,,Head-to-Head,,2024,Roma,,,,,,
48,2024-05-12,17,Serie A,Matchweek 36,Sun,Home,,,,Empoli,,,,,,,,Head-to-Head,,2024,Lazio,,,,,,
49,2024-05-19,20,Serie A,Matchweek 37,Sun,Away,,,,Inter,,,,,,,,Head-to-Head,,2024,Lazio,,,,,,
50,2024-05-26,20,Serie A,Matchweek 38,Sun,Home,,,,Sassuolo,,,,,,,,Head-to-Head,,2024,Lazio,,,,,,
46,2024-05-11,18,Serie A,Matchweek 36,Sat,Home,,,,Bologna,,,,,,,,Head-to-Head,,2024,Napoli,,,,,,
47,2024-05-19,17,Serie A,Matchweek 37,Sun,Away,,,,Fiorentina,,,,,,,,Head-to-Head,,2024,Napoli,,,,,,
48,2024-05-26,19,Serie A,Matchweek 38,Sun,Home,,,,Lecce,,,,,,,,Head-to-Head,,2024,Napoli,,,,,,
41,2024-03-17,18,Serie A,Matchweek 29,Sun,Away,,,,Atalanta,,,,,,,Juan Sacchi,,Match Postponed,2024,Fiorentina,,,,,,
54,2024-05-13,19,Serie A,Matchweek 36,Mon,Home,,,,Monza,,,,,,,,Head-to-Head,,2024,Fiorentina,,,,,,
55,2024-05-19,17,Serie A,Matchweek 37,Sun,Home,,,,Napoli,,,,,,,,Head-to-Head,,2024,Fiorentina,,,,,,
56,2024-05-26,19,Serie A,Matchweek 38,Sun,Away,,,,Cagliari,,,,,,,,Head-to-Head,,2024,Fiorentina,,,,,,
37,2024-05-12,18,Serie A,Matchweek 36,Sun,Away,,,,Hellas Verona,,,,,,,,Head-to-Head,,2024,Torino,,,,,,
38,2024-05-19,20,Serie A,Matchweek 37,Sun,Home,,,,Milan,,,,,,,,Head-to-Head,,2024,Torino,,,,,,
39,2024-05-26,20,Serie A,Matchweek 38,Sun,Away,,,,Atalanta,,,,,,,,Head-to-Head,,2024,Torino,,,,,,
36,2024-05-13,17,Serie A,Matchweek 36,Mon,Away,,,,Fiorentina,,,,,,,,Head-to-Head,,2024,Monza,,,,,,
37,2024-05-19,18,Serie A,Matchweek 37,Sun,Home,,,,Frosinone,,,,,,,,Head-to-Head,,2024,Monza,,,,,,
38,2024-05-26,19,Serie A,Matchweek 38,Sun,Away,,,,Juventus,,,,,,,,Head-to-Head,,2024,Monza,,,,,,
38,2024-05-12,17,Serie A,Matchweek 36,Sun,Home,,,,Sassuolo,,,,,,,,Head-to-Head,,2024,Genoa,,,,,,
39,2024-05-19,17,Serie A,Matchweek 37,Sun,Away,,,,Roma,,,,,,,,Head-to-Head,,2024,Genoa,,,,,,
40,2024-05-26,19,Serie A,Matchweek 38,Sun,Home,,,,Bologna,,,,,,,,Head-to-Head,,2024,Genoa,,,,,,
37,2024-05-13,17,Serie A,Matchweek 36,Mon,Home,,,,Udinese,,,,,,,,Head-to-Head,,2024,Lecce,,,,,,
38,2024-05-19,18,Serie A,Matchweek 37,Sun,Home,,,,Atalanta,,,,,,,,Head-to-Head,,2024,Lecce,,,,,,
39,2024-05-26,17,Serie A,Matchweek 38,Sun,Away,,,,Napoli,,,,,,,,Head-to-Head,,2024,Lecce,,,,,,
37,2024-05-12,19,Serie A,Matchweek 36,Sun,Home,,,,Torino,,,,,,,,Head-to-Head,,2024,Hellas Verona,,,,,,
38,2024-05-19,18,Serie A,Matchweek 37,Sun,Away,,,,Salernitana,,,,,,,,Head-to-Head,,2024,Hellas Verona,,,,,,
39,2024-05-26,19,Serie A,Matchweek 38,Sun,Home,,,,Inter,,,,,,,,Head-to-Head,,2024,Hellas Verona,,,,,,
38,2024-05-11,19,Serie A,Matchweek 36,Sat,Away,,,,Milan,,,,,,,,Head-to-Head,,2024,Cagliari,,,,,,
39,2024-05-19,18,Serie A,Matchweek 37,Sun,Away,,,,Sassuolo,,,,,,,,Head-to-Head,,2024,Cagliari,,,,,,
40,2024-05-26,18,Serie A,Matchweek 38,Sun,Home,,,,Fiorentina,,,,,,,,Head-to-Head,,2024,Cagliari,,,,,,
40,2024-05-19,17,Serie A,Matchweek 37,Sun,Away,,,,Monza,,,,,,,,Head-to-Head,,2024,Frosinone,,,,,,
41,2024-05-26,20,Serie A,Matchweek 38,Sun,Home,,,,Udinese,,,,,,,,Head-to-Head,,2024,Frosinone,,,,,,
36,2024-05-12,17,Serie A,Matchweek 36,Sun,Away,,,,Lazio,,,,,,,,Head-to-Head,,2024,Empoli,,,,,,
37,2024-05-19,17,Serie A,Matchweek 37,Sun,Away,,,,Udinese,,,,,,,,Head-to-Head,,2024,Empoli,,,,,,
38,2024-05-26,20,Serie A,Matchweek 38,Sun,Home,,,,Roma,,,,,,,,Head-to-Head,,2024,Empoli,,,,,,
37,2024-05-13,19,Serie A,Matchweek 36,Mon,Away,,,,Lecce,,,,,,,,Head-to-Head,,2024,Udinese,,,,,,
38,2024-05-19,19,Serie A,Matchweek 37,Sun,Home,,,,Empoli,,,,,,,,Head-to-Head,,2024,Udinese,,,,,,
39,2024-05-26,17,Serie A,Matchweek 38,Sun,Away,,,,Frosinone,,,,,,,,Head-to-Head,,2024,Udinese,,,,,,
38,2024-05-12,17,Serie A,Matchweek 36,Sun,Away,,,,Genoa,,,,,,,,Head-to-Head,,2024,Sassuolo,,,,,,
39,2024-05-19,19,Serie A,Matchweek 37,Sun,Home,,,,Cagliari,,,,,,,,Head-to-Head,,2024,Sassuolo,,,,,,
40,2024-05-26,19,Serie A,Matchweek 38,Sun,Away,,,,Lazio,,,,,,,,Head-to-Head,,2024,Sassuolo,,,,,,
38,2024-05-12,19,Serie A,Matchweek 36,Sun,Away,,,,Juventus,,,,,,,,Head-to-Head,,2024,Salernitana,,,,,,
39,2024-05-19,20,Serie A,Matchweek 37,Sun,Home,,,,Hellas Verona,,,,,,,,Head-to-Head,,2024,Salernitana,,,,,,
